acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,track_id,type,uri,valence,0
0.885,https://api.spotify.com/v1/audio-analysis/22yqjMigmDx69Ev9yqhtFK,0.663,257987.0,0.41,22yqjMigmDx69Ev9yqhtFK,0.000667,6.0,0.137,-9.589,0.0,0.367,89.113,4.0,https://api.spotify.com/v1/tracks/22yqjMigmDx69Ev9yqhtFK,22yqjMigmDx69Ev9yqhtFK,audio_features,spotify:track:22yqjMigmDx69Ev9yqhtFK,0.324,
0.0851,https://api.spotify.com/v1/audio-analysis/0xDUqQ3gVuhhjZnK9zXHwG,0.742,183143.0,0.731,0xDUqQ3gVuhhjZnK9zXHwG,0.0,11.0,0.131,-4.362,0.0,0.306,174.019,4.0,https://api.spotify.com/v1/tracks/0xDUqQ3gVuhhjZnK9zXHwG,0xDUqQ3gVuhhjZnK9zXHwG,audio_features,spotify:track:0xDUqQ3gVuhhjZnK9zXHwG,0.547,
0.0663,https://api.spotify.com/v1/audio-analysis/48AGUAbQ4itLXYEDAr2UZC,0.362,156467.0,0.466,48AGUAbQ4itLXYEDAr2UZC,1.13e-05,5.0,0.224,-8.161,1.0,0.0858,83.944,4.0,https://api.spotify.com/v1/tracks/48AGUAbQ4itLXYEDAr2UZC,48AGUAbQ4itLXYEDAr2UZC,audio_features,spotify:track:48AGUAbQ4itLXYEDAr2UZC,0.339,
0.503,https://api.spotify.com/v1/audio-analysis/5EmmYFb5EijSotAY26caM7,0.272,270067.0,0.358,5EmmYFb5EijSotAY26caM7,1.06e-05,9.0,0.359,-11.231,1.0,0.0442,82.047,3.0,https://api.spotify.com/v1/tracks/5EmmYFb5EijSotAY26caM7,5EmmYFb5EijSotAY26caM7,audio_features,spotify:track:5EmmYFb5EijSotAY26caM7,0.281,
0.787,https://api.spotify.com/v1/audio-analysis/0pIeBRcu1BeThAwGdQRwL3,0.525,100387.0,0.478,0pIeBRcu1BeThAwGdQRwL3,6.14e-06,6.0,0.104,-11.203,0.0,0.441,147.741,4.0,https://api.spotify.com/v1/tracks/0pIeBRcu1BeThAwGdQRwL3,0pIeBRcu1BeThAwGdQRwL3,audio_features,spotify:track:0pIeBRcu1BeThAwGdQRwL3,0.276,
0.0252,https://api.spotify.com/v1/audio-analysis/55CHeLEfn5iJ0IIkgaa4si,0.843,155497.0,0.741,55CHeLEfn5iJ0IIkgaa4si,0.0,11.0,0.096,-5.609,1.0,0.334,168.983,4.0,https://api.spotify.com/v1/tracks/55CHeLEfn5iJ0IIkgaa4si,55CHeLEfn5iJ0IIkgaa4si,audio_features,spotify:track:55CHeLEfn5iJ0IIkgaa4si,0.68,
0.0541,https://api.spotify.com/v1/audio-analysis/0B8QzDH7YWih85V5SEMnyJ,0.795,198944.0,0.568,0B8QzDH7YWih85V5SEMnyJ,0.0,5.0,0.108,-7.817,0.0,0.142,136.173,4.0,https://api.spotify.com/v1/tracks/0B8QzDH7YWih85V5SEMnyJ,0B8QzDH7YWih85V5SEMnyJ,audio_features,spotify:track:0B8QzDH7YWih85V5SEMnyJ,0.478,
0.175,https://api.spotify.com/v1/audio-analysis/42wYsI2BUS9ABUnY9wZcGT,0.894,132800.0,0.464,42wYsI2BUS9ABUnY9wZcGT,0.0,1.0,0.274,-6.618,1.0,0.371,81.084,4.0,https://api.spotify.com/v1/tracks/42wYsI2BUS9ABUnY9wZcGT,42wYsI2BUS9ABUnY9wZcGT,audio_features,spotify:track:42wYsI2BUS9ABUnY9wZcGT,0.583,
0.963,https://api.spotify.com/v1/audio-analysis/2tEVGm86VnQZXqe50tQKTz,0.426,105933.0,0.0613,2tEVGm86VnQZXqe50tQKTz,0.00368,9.0,0.162,-17.04,1.0,0.0401,134.959,3.0,https://api.spotify.com/v1/tracks/2tEVGm86VnQZXqe50tQKTz,2tEVGm86VnQZXqe50tQKTz,audio_features,spotify:track:2tEVGm86VnQZXqe50tQKTz,0.178,
0.551,https://api.spotify.com/v1/audio-analysis/2qG81jL9UIP54uS8gYyP4k,0.632,180413.0,0.345,2qG81jL9UIP54uS8gYyP4k,0.0,11.0,0.104,-8.0,0.0,0.0349,141.641,3.0,https://api.spotify.com/v1/tracks/2qG81jL9UIP54uS8gYyP4k,2qG81jL9UIP54uS8gYyP4k,audio_features,spotify:track:2qG81jL9UIP54uS8gYyP4k,0.0818,
